"","knapper","assessment","hours","variable","value","sqrt_hours","score_median","score_relative_median"
"1",1,"1",0,"Score_predicted",2.15366416666667,0,1.8539375,0.29972666666667
"2",2,"1",0,"Score_predicted",1.24493083333333,0,1.8539375,-0.60900666666667
"3",3,"1",0,"Score_predicted",2.06568166666667,0,1.8539375,0.21174416666667
"4",5,"1",0,"Score_predicted",1.06165416666667,0,1.8539375,-0.79228333333333
"5",6,"1",0,"Score_predicted",2.59107333333333,0,1.8539375,0.73713583333333
"6",7,"1",0,"Score_predicted",1.28182,0,1.8539375,-0.5721175
"7",8,"1",0,"Score_predicted",1.98727083333333,0,1.8539375,0.13333333333333
"8",9,"1",0,"Score_predicted",1.18801083333334,0,1.8539375,-0.66592666666666
"9",10,"1",0,"Score_predicted",1.8539375,0,1.8539375,0
"10",11,"1",0,"Score_predicted",2.10146833333334,0,1.8539375,0.24753083333334
"11",13,"1",0,"Score_predicted",1.53996166666667,0,1.8539375,-0.31397583333333
"12",14,"1",0,"Score_predicted",1.74146916666667,0,1.8539375,-0.11246833333333
"13",15,"1",0,"Score_predicted",1.08822583333334,0,1.8539375,-0.76571166666666
"14",16,"1",0,"Score_predicted",3.12156500000001,0,1.8539375,1.26762750000001
"15",17,"1",0,"Score_predicted",2.10854416666667,0,1.8539375,0.25460666666667
"16",19,"1",0,"Score_predicted",1.41858750000001,0,1.8539375,-0.43534999999999
"17",21,"1",0,"Score_predicted",2.44135333333333,0,1.8539375,0.58741583333333
"18",1,"2",12,"Score_predicted",1.2115,3.46410161513775,2.87279,-1.66129
"19",2,"2",12,"Score_predicted",1.67100166666667,3.46410161513775,2.87279,-1.20178833333333
"20",3,"2",12,"Score_predicted",2.92313666666667,3.46410161513775,2.87279,0.0503466666666696
"21",5,"2",12,"Score_predicted",2.87279,3.46410161513775,2.87279,0
"22",6,"2",12,"Score_predicted",2.80149833333333,3.46410161513775,2.87279,-0.0712916666666703
"23",7,"2",12,"Score_predicted",3.24048416666667,3.46410161513775,2.87279,0.36769416666667
"24",8,"2",12,"Score_predicted",2.56967416666666,3.46410161513775,2.87279,-0.30311583333334
"25",9,"2",12,"Score_predicted",2.30180666666666,3.46410161513775,2.87279,-0.57098333333334
"26",10,"2",12,"Score_predicted",3.13576333333333,3.46410161513775,2.87279,0.26297333333333
"27",11,"2",12,"Score_predicted",3.11322666666667,3.46410161513775,2.87279,0.24043666666667
"28",13,"2",12,"Score_predicted",2.31187583333334,3.46410161513775,2.87279,-0.56091416666666
"29",14,"2",12,"Score_predicted",1.85596916666667,3.46410161513775,2.87279,-1.01682083333333
"30",15,"2",12,"Score_predicted",1.82986666666667,3.46410161513775,2.87279,-1.04292333333333
"31",16,"2",12,"Score_predicted",3.02103583333333,3.46410161513775,2.87279,0.14824583333333
"32",17,"2",12,"Score_predicted",3.48593083333335,3.46410161513775,2.87279,0.61314083333335
"33",19,"2",12,"Score_predicted",3.287895,3.46410161513775,2.87279,0.415105
"34",21,"2",12,"Score_predicted",3.47246416666668,3.46410161513775,2.87279,0.59967416666668
"35",2,"3",24,"Score_predicted",3.40038166666667,4.89897948556636,3.25052416666666,0.14985750000001
"36",3,"3",24,"Score_predicted",2.75907166666668,4.89897948556636,3.25052416666666,-0.49145249999998
"37",5,"3",24,"Score_predicted",3.20136500000001,4.89897948556636,3.25052416666666,-0.0491591666666502
"38",6,"3",24,"Score_predicted",3.47905416666666,4.89897948556636,3.25052416666666,0.22853
"39",7,"3",24,"Score_predicted",3.2436275,4.89897948556636,3.25052416666666,-0.00689666666665989
"40",9,"3",24,"Score_predicted",3.57985833333333,4.89897948556636,3.25052416666666,0.32933416666667
"41",10,"3",24,"Score_predicted",3.67235166666667,4.89897948556636,3.25052416666666,0.42182750000001
"42",11,"3",24,"Score_predicted",3.19950333333333,4.89897948556636,3.25052416666666,-0.0510208333333302
"43",13,"3",24,"Score_predicted",3.53027916666667,4.89897948556636,3.25052416666666,0.27975500000001
"44",15,"3",24,"Score_predicted",2.06287416666667,4.89897948556636,3.25052416666666,-1.18764999999999
"45",16,"3",24,"Score_predicted",3.16321416666667,4.89897948556636,3.25052416666666,-0.0873099999999898
"46",17,"3",24,"Score_predicted",3.25052416666666,4.89897948556636,3.25052416666666,0
"47",19,"3",24,"Score_predicted",3.1725175,4.89897948556636,3.25052416666666,-0.0780066666666599
"48",21,"3",24,"Score_predicted",3.56290583333334,4.89897948556636,3.25052416666666,0.31238166666668
"49",2,"4",36,"Score_predicted",2.59989166666666,6,3.360315,-0.76042333333334
"50",3,"4",36,"Score_predicted",2.55078166666666,6,3.360315,-0.80953333333334
"51",5,"4",36,"Score_predicted",3.56870916666667,6,3.360315,0.20839416666667
"52",7,"4",36,"Score_predicted",3.42996666666667,6,3.360315,0.0696516666666702
"53",10,"4",36,"Score_predicted",3.65941416666668,6,3.360315,0.29909916666668
"54",11,"4",36,"Score_predicted",3.08251250000001,6,3.360315,-0.27780249999999
