"","Score_observed_expert","Score_predicted_expert","knapper","assessment"
"1",5,4.93858333333334,"bb_1","10"
"2",5,4.90466833333334,"bb_2","10"
"3",5,4.7938625,"bb_3","10"
"4",5,4.58756333333334,"bb_4","10"
"5",5,4.86597583333334,"ds_1","10"
"6",5,4.71269500000002,"ds_2","10"
"7",5,4.81107833333334,"ds_3","10"
"8",5,4.63055500000001,"jl_1","10"
"9",5,4.56835666666668,"jl_2","10"
"10",5,3.64887666666667,"jl_4","10"
"11",1,1.34754333333334,NA,"1"
"12",1,2.41295833333333,NA,"1"
"13",1,1.4905125,NA,"1"
"14",1,1.23192583333334,NA,"1"
"15",1.5,1.99490083333334,NA,"1"
"16",1.5,1.954505,NA,"1"
"17",2,2.0138,NA,"1"
"18",2,1.71461916666667,NA,"1"
"19",2,1.71657083333333,NA,"1"
"20",1,2.05464333333334,NA,"1"
"21",1,1.62206166666667,NA,"1"
"22",1,1.84836083333334,NA,"1"
"23",1,1.73700250000001,NA,"1"
"24",1,1.46620666666667,NA,"1"
"25",1,1.23059916666667,NA,"1"
"26",1,1.52256166666667,NA,"1"
"27",1,1.63360916666667,NA,"1"
"28",1,3.10798916666667,NA,"1"
"29",1,1.71571416666667,NA,"1"
"30",1,1.20580916666667,NA,"1"
"31",1,1.39332833333334,NA,"1"
"32",2,1.89666833333334,NA,"1"
"33",2,1.97202499999999,NA,"1"
"34",2,2.12941083333333,NA,"1"
"35",2,1.91784166666666,NA,"1"
"36",3,2.57553083333334,NA,"1"
"37",1,1.22228,NA,"2"
"38",1.5,1.561385,NA,"2"
"39",2,2.341035,NA,"2"
"40",2,2.53885,NA,"2"
"41",2,3.34527666666666,NA,"2"
"42",2,2.72324083333333,NA,"2"
"43",2,2.36634333333334,NA,"2"
"44",2,1.82643083333334,NA,"2"
"45",2.5,3.09489500000001,NA,"2"
"46",2.5,2.21048583333333,NA,"2"
"47",2.5,3.24654083333333,NA,"2"
"48",2.5,2.90187416666666,NA,"2"
"49",3,3.2959,NA,"2"
"50",3,3.10044333333333,NA,"2"
"51",3,3.15148999999999,NA,"2"
"52",3.5,3.32338416666667,NA,"2"
"53",3.5,3.52924499999999,NA,"2"
"54",2.5,2.94881000000001,NA,"3"
"55",2.5,2.66507166666666,NA,"3"
"56",2.5,2.777145,NA,"3"
"57",3,2.92867583333333,NA,"3"
"58",3,2.99398416666666,NA,"3"
"59",3,3.11194166666668,NA,"3"
"60",3,3.25397,NA,"3"
"61",3,3.15630916666666,NA,"3"
"62",3,3.72804333333332,NA,"3"
"63",3,3.238625,NA,"3"
"64",3.5,3.47202666666667,NA,"3"
"65",3.5,3.44429333333333,NA,"3"
"66",3.5,2.19732916666667,NA,"3"
"67",4,3.6788325,NA,"3"
"68",2,2.42475583333333,NA,"4"
"69",2.5,2.5022225,NA,"4"
"70",3,3.09404333333333,NA,"4"
"71",3,2.95271333333334,NA,"4"
"72",3,3.11621999999999,NA,"4"
"73",3,3.11807166666666,NA,"4"
"74",3,3.73759583333333,NA,"4"
"75",3.5,3.13469666666667,NA,"4"
"76",3.5,3.2891125,NA,"4"
"77",3.5,3.20543416666667,NA,"4"
"78",4,3.29892333333333,NA,"4"
"79",4,3.65064750000001,NA,"4"
"80",4,3.68549666666667,NA,"4"
"81",3,3.139155,NA,"5"
"82",3,3.16131083333333,NA,"5"
"83",3,3.28977333333333,NA,"5"
"84",3,3.11130083333333,NA,"5"
"85",3,3.22773666666667,NA,"5"
"86",3.5,3.6997825,NA,"5"
"87",3.5,3.43090916666667,NA,"5"
"88",3.5,3.310745,NA,"5"
"89",3.5,3.02517833333333,NA,"5"
"90",3.5,2.75138083333334,NA,"5"
"91",3.5,2.8179075,NA,"5"
"92",3.5,3.11360666666667,NA,"5"
"93",4,3.53478916666667,NA,"5"
"94",4,3.75251,NA,"5"
"95",4,3.81734833333333,NA,"5"
"96",4,3.86389499999999,NA,"5"
"97",4,3.5468125,NA,"5"
"98",3,3.12492666666667,NA,"6"
"99",3,3.03314499999999,NA,"6"
"100",3,2.93785416666667,NA,"6"
"101",3,2.3266475,NA,"6"
"102",3.5,3.44199666666666,NA,"6"
"103",3.5,3.35379333333333,NA,"6"
"104",3.5,3.42370083333333,NA,"6"
"105",4,3.23718999999999,NA,"6"
"106",4,3.34430833333333,NA,"6"
"107",4,3.32962583333334,NA,"6"
"108",3,3.19892083333333,NA,"7"
"109",3,3.27325666666666,NA,"7"
"110",3,3.484225,NA,"7"
"111",3,2.90220000000001,NA,"7"
"112",3.5,3.43854249999999,NA,"7"
"113",3.5,2.91912333333333,NA,"7"
"114",3.5,3.38492749999999,NA,"7"
"115",4,3.57437749999999,NA,"7"
"116",4,3.71917833333333,NA,"7"
"117",4,3.81076333333334,NA,"7"
"118",3,3.07395333333334,NA,"8"
"119",3,2.82641583333334,NA,"8"
"120",3.5,3.0554975,NA,"8"
"121",3.5,3.49000666666667,NA,"8"
"122",4,3.8415025,NA,"8"
"123",4,3.20062,NA,"8"
"124",4,3.40339083333333,NA,"8"
"125",4,3.82411666666667,NA,"8"
"126",4,3.66526166666666,NA,"8"
"127",4.5,3.95001999999999,NA,"8"
"128",3,3.236685,NA,"9"
"129",3,2.467525,NA,"9"
"130",3.5,3.36676833333333,NA,"9"
"131",3.5,3.5409975,NA,"9"
"132",4,3.52346083333333,NA,"9"
"133",4,3.94584666666667,NA,"9"
